"ID","Salary"
871,5771.39504212889
872,2722.49563787824
873,9724.98223860053
874,2355.84072820051
875,3136.62345374957
876,5473.18021890053
877,6290.98516112408
878,1751.26571239365
879,3525.82438950912
880,10788.2616897204
881,10210.157995353
882,2726.73415157234
883,5924.41650713078
884,5663.22390057689
885,6558.92166892988
886,5800.87543735157
887,6899.93255970543
888,6348.86602707306
889,3400.86790160017
890,3368.31586647262
891,3632.47336503036
892,6447.05846742267
893,6552.17776767796
894,5554.41254036639
895,10448.2119705625
896,7541.06022083012
897,6431.24883335759
898,16691.2113678342
899,6745.97402470014
900,2897.43041953862
901,2835.54551178284
902,6799.09041543271
903,8294.7816830299
904,3229.62517989499
905,17393.3696263492
906,5446.24139881439
907,8945.77680171337
908,6694.15407383117
909,2074.89718967739
910,1896.61335093035
911,16514.6033074499
912,3538.92587875448
913,3096.73811833672
914,15107.0998906543
915,6586.87238888662
916,2681.63459017351
917,1983.76063243129
918,5684.24776062795
919,1622.29319081079
920,3666.64202471671
921,2599.0345580713
922,1834.72844317456
923,3425.58382160644
924,4061.56783904637
925,19050.3484262309
926,3724.49937888391
927,6745.97402470014
928,15745.0486994032
929,1857.91468791489
930,3355.76834020134
931,7854.07277825297
932,13554.1998217271
933,6769.16026944046
934,2249.83197133777
935,1834.72844317456
936,2424.76675299816
937,8012.61282982093
938,8588.50652610317
939,5354.05342033125
940,1969.11091283485
941,4708.61735681966
942,6902.04733099873
943,10550.8645255484
944,5824.0616820919
945,1752.12841107235
946,5875.92924635683
947,1969.11091283485
948,2030.13312191193
949,3779.0946252573
950,6272.12368576229
951,3441.72894930489
952,6337.35765060472
953,6272.17129915825
954,2921.80333667634
955,3509.67926181067
956,3539.81533536192
957,12376.9546834631
958,3745.52323893497
959,8756.51444785789
960,19937.5317142958
961,2981.52585974286
962,3632.47336503036
963,7251.96450771547
964,4607.13929689446
965,2113.59585269285
966,17721.0774600061
967,2810.915847461
968,6769.16026944046
969,18098.3229789767
970,2660.61073012245
971,6118.21276415296
972,6792.39412757675
973,2704.82083491384
974,1873.42710619002
975,6041.0441838544
976,2570.74710095817
977,8362.4823931417
978,2960.5019996918
979,8319.04034303142
980,16637.3028208064
981,2686.18183957224
982,7601.78645764028
983,2858.73175652316
984,2816.0170598338
985,6316.33379055367
986,3331.39542306363
987,1875.58949087929
988,6078.32742874011
989,9533.78807210549
990,2309.55449440429
991,4693.65386897209
992,2764.54335798035
993,4670.21087704763
994,5579.12846037266
995,5880.2064023394
996,5151.35087736788
997,2332.74073914461
998,17573.9104396486
999,7161.07755286335
1000,1534.28321063114
1001,4913.6882120313
1002,2731.92161962957
1003,3851.61825148213
1004,9001.44766957712
1005,3830.59439143107
1006,6470.24471216299
1007,2186.09341459736
1008,6598.8546177387
1009,17374.5081509874
1010,4146.31254113512
